iter	Passed	Remaining
0	1	129
1	2	115
2	3	100
3	3	94
4	4	92
5	5	89
6	6	89
7	7	86
8	8	83
9	8	80
10	9	79
11	10	78
12	11	77
13	12	75
14	13	74
15	13	73
16	14	72
17	15	71
18	16	70
19	17	69
20	18	67
21	18	66
22	19	65
23	20	64
24	21	64
25	21	62
26	22	61
27	23	60
28	24	59
29	24	58
30	25	57
31	26	56
32	27	55
33	28	54
34	28	53
35	29	52
36	30	51
37	31	50
38	31	49
39	32	49
40	33	48
41	34	47
42	35	47
43	36	46
44	37	45
45	38	44
46	38	43
47	39	42
48	40	42
49	41	41
50	42	40
51	42	39
52	43	38
53	44	37
54	45	36
55	46	36
56	46	35
57	47	34
58	48	33
59	49	33
60	50	32
61	51	31
62	51	30
63	52	29
64	53	28
65	54	27
66	55	27
67	55	26
68	56	25
69	57	24
70	58	23
71	58	22
72	59	22
73	60	21
74	61	20
75	62	19
76	62	18
77	63	17
78	64	17
79	65	16
80	66	15
81	66	14
82	67	13
83	68	13
84	70	12
85	71	11
86	71	10
87	72	9
88	73	9
89	74	8
90	75	7
91	76	6
92	77	5
93	77	4
94	78	4
95	79	3
96	80	2
97	80	1
98	81	0
99	82	0
